,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
69,4,5,6,3,3,3,6,6,4,4,7,2,2,6,4,2,3,6,4,Graduated
70,6,5,6,7,7,8,9,5,5,6,7,7,5,8,6,7,6,9,3,Graduated
71,4,5,4,4,3,3,3,9,4,6,6,4,4,5,5,1,5,2,6,Graduated
72,6,6,5,5,5,3,5,5,4,4,7,5,6,9,5,4,5,6,4,Graduated
73,5,6,8,9,8,8,6,4,9,7,8,7,6,7,6,9,7,6,4,Graduated
74,6,6,4,3,4,3,8,5,4,4,5,3,4,6,4,3,3,8,5,Graduated
75,5,5,5,5,6,8,6,6,6,7,6,5,6,7,5,7,6,6,4,Graduated
76,6,6,7,4,4,5,7,4,8,5,7,5,4,7,5,6,5,6,4,Graduated
77,6,8,4,4,4,5,7,8,8,3,9,2,5,6,6,4,4,4,5,Graduated
78,5,6,4,4,3,1,2,6,1,7,6,4,4,7,5,1,5,4,5,Graduated
79,6,6,7,4,4,8,10,5,6,8,7,4,5,9,6,6,6,8,2,Graduated
80,4,5,5,6,4,3,7,6,5,6,8,5,3,10,5,3,6,6,2,Graduated
81,4,5,4,6,6,7,9,3,3,6,8,3,4,7,4,7,4,0,3,Graduated
82,5,5,4,4,6,4,6,5,3,5,7,4,4,4,4,4,4,7,6,Graduated
83,7,10,7,5,7,8,7,9,5,6,7,8,5,8,8,6,8,6,3,Graduated
84,5,5,5,4,4,5,5,5,4,5,6,4,3,7,4,4,4,5,3,Graduated
85,5,6,3,4,7,3,6,6,3,5,6,4,4,7,4,4,4,7,4,Graduated
86,6,3,6,5,9,8,9,5,6,7,7,6,3,8,5,8,6,9,2,Graduated
87,5,6,3,8,7,7,10,6,5,9,8,10,8,8,5,6,0,9,5,Graduated
88,5,6,5,3,2,3,5,8,5,5,5,2,1,5,5,1,3,4,4,Graduated
89,8,5,6,4,4,3,4,10,8,2,7,3,1,6,7,2,3,2,3,Graduated
90,7,7,7,7,8,9,10,5,7,8,7,9,7,3,7,9,8,9,7,Graduated
91,6,7,5,3,3,4,7,6,1,2,7,1,2,6,5,2,2,7,4,Graduated
92,3,6,6,6,9,4,5,5,6,NA,NA,NA,NA,NA,5,6,1,6,7,Graduated
93,5,5,6,5,7,7,10,6,8,6,8,7,6,3,5,7,7,8,7,Graduated
